link, likes, dislikes, level, accepted, submissions, acceptance_rate
https://leetcode.com/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target, 212, 22, Medium, 14277, 19486, 0.73
https://leetcode.com/problems/maximize-the-confusion-of-an-exam, 348, 7, Medium, 10777, 19400, 0.56
https://leetcode.com/problems/maximum-number-of-ways-to-partition-an-array, 241, 18, Hard, 4073, 13560, 0.3
https://leetcode.com/problems/minimum-moves-to-convert-string, 157, 42, Easy, 15780, 29831, 0.53
https://leetcode.com/problems/find-missing-observations, 188, 9, Medium, 11639, 28208, 0.41
https://leetcode.com/problems/stone-game-ix, 125, 182, Medium, 4318, 17878, 0.24
https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter, 193, 6, Hard, 3459, 8896, 0.39
https://leetcode.com/problems/two-out-of-three, 220, 23, Easy, 20919, 28779, 0.73
https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid, 254, 20, Medium, 11358, 23253, 0.49
https://leetcode.com/problems/stock-price-fluctuation, 313, 27, Medium, 14592, 32913, 0.44
https://leetcode.com/problems/minimum-number-of-moves-to-seat-everyone, 217, 36, Easy, 17499, 21050, 0.83
https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color, 176, 14, Medium, 9316, 16954, 0.55
https://leetcode.com/problems/the-time-when-the-network-becomes-idle, 209, 14, Medium, 5477, 11294, 0.48
https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays, 213, 12, Hard, 3273, 12994, 0.25
https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence, 198, 10, Easy, 18679, 27041, 0.69
https://leetcode.com/problems/simple-bank-system, 88, 98, Medium, 11069, 17143, 0.65
https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets, 192, 12, Medium, 11156, 14847, 0.75
https://leetcode.com/problems/second-minimum-time-to-reach-destination, 278, 3, Hard, 5268, 14645, 0.36
https://leetcode.com/problems/number-of-valid-words-in-a-sentence, 97, 424, Easy, 12049, 41181, 0.29
https://leetcode.com/problems/next-greater-numerically-balanced-number, 85, 208, Medium, 7766, 16869, 0.46
https://leetcode.com/problems/count-nodes-with-the-highest-score, 307, 19, Medium, 8019, 17495, 0.46
https://leetcode.com/problems/parallel-courses-iii, 263, 6, Hard, 7074, 11683, 0.61
https://leetcode.com/problems/kth-distinct-string-in-an-array, 216, 5, Easy, 16783, 22819, 0.74
https://leetcode.com/problems/two-best-non-overlapping-events, 326, 6, Medium, 7013, 16717, 0.42
https://leetcode.com/problems/plates-between-candles, 296, 5, Medium, 7840, 16422, 0.48
https://leetcode.com/problems/number-of-valid-move-combinations-on-chessboard, 25, 123, Hard, 1698, 2946, 0.58
https://leetcode.com/problems/smallest-index-with-equal-value, 113, 60, Easy, 19245, 26125, 0.74
https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points, 194, 8, Medium, 12954, 22235, 0.58
https://leetcode.com/problems/minimum-operations-to-convert-number, 306, 15, Medium, 8633, 18959, 0.46
https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings, 118, 54, Hard, 3231, 8537, 0.38
https://leetcode.com/problems/count-vowel-substrings-of-a-string, 280, 92, Easy, 13912, 21134, 0.66
https://leetcode.com/problems/vowels-of-all-substrings, 281, 11, Medium, 10960, 20302, 0.54
https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store, 332, 15, Medium, 9561, 20085, 0.48
https://leetcode.com/problems/maximum-path-quality-of-a-graph, 207, 21, Hard, 6265, 10897, 0.57
https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent, 155, 6, Easy, 13430, 20057, 0.67
https://leetcode.com/problems/walking-robot-simulation-ii, 98, 217, Medium, 4931, 23443, 0.21
https://leetcode.com/problems/most-beautiful-item-for-each-query, 251, 6, Medium, 7007, 14495, 0.48
https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign, 192, 9, Hard, 3455, 9228, 0.37
https://leetcode.com/problems/time-needed-to-buy-tickets, 260, 15, Easy, 16474, 26669, 0.62
https://leetcode.com/problems/reverse-nodes-in-even-length-groups, 132, 163, Medium, 7915, 16214, 0.49
https://leetcode.com/problems/decode-the-slanted-ciphertext, 127, 28, Medium, 7112, 14203, 0.5
https://leetcode.com/problems/process-restricted-friend-requests, 261, 3, Hard, 7052, 13444, 0.52
https://leetcode.com/problems/two-furthest-houses-with-different-colors, 288, 8, Easy, 18596, 26771, 0.69
https://leetcode.com/problems/watering-plants, 267, 19, Medium, 15527, 19271, 0.81
https://leetcode.com/problems/range-frequency-queries, 289, 19, Medium, 9439, 26428, 0.36
https://leetcode.com/problems/sum-of-k-mirror-numbers, 73, 103, Hard, 4067, 10461, 0.39
https://leetcode.com/problems/count-common-words-with-one-occurrence, 219, 5, Easy, 16153, 22729, 0.71
https://leetcode.com/problems/minimum-number-of-buckets-required-to-collect-rainwater-from-houses, 253, 13, Medium, 8166, 17947, 0.46
https://leetcode.com/problems/count-fertile-pyramids-in-a-land, 150, 6, Hard, 3248, 5244, 0.62
https://leetcode.com/problems/find-target-indices-after-sorting-array, 393, 17, Easy, 34867, 42812, 0.81
https://leetcode.com/problems/k-radius-subarray-averages, 204, 9, Medium, 11935, 29808, 0.4
https://leetcode.com/problems/removing-minimum-and-maximum-from-array, 231, 14, Medium, 13415, 23031, 0.58
https://leetcode.com/problems/find-all-people-with-secret, 351, 18, Hard, 9369, 29595, 0.32
https://leetcode.com/problems/finding-3-digit-even-numbers, 172, 161, Easy, 12982, 23460, 0.55
https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list, 459, 18, Medium, 27346, 46825, 0.58
https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another, 476, 36, Medium, 13597, 29316, 0.46
https://leetcode.com/problems/valid-arrangement-of-pairs, 207, 10, Hard, 3873, 9805, 0.4
https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum, 290, 23, Easy, 11244, 25274, 0.44
https://leetcode.com/problems/find-good-days-to-rob-the-bank, 241, 12, Medium, 7213, 16053, 0.45
